"ct-anghel-saligny","Colegiul Tehnic Anghel Saligny"
"cn-gheorghe-lazar","Colegiul Național Gheorghe Lazăr"
"lt-marin-preda","Liceul Teoretic Marin Preda"
"ct-costin-nenitescu-bucuresti","Colegiul Tehnic Costin D. Nenițescu București"
"lt-dumitru-dumitrescu","Liceul Tehnologic Dumitru Dumitrescu"
"lt-stefan-odobleja","Liceul Teoretic Ștefan Odobleja"
"cn-cantemir-voda","Colegiul Național Cantemir Vodă"
"lt-mihail-kogalniceanu","Liceul Teoretic Mihail Kogălniceanu"
"cn-ion-neculce","Colegiul Național Ion Neculce"
"lt-benjamin-franklin","Liceul Teoretic Benjamin Franklin"
"lt-tudor-vladimirescu","Liceul Teoretic Tudor Vladimirescu"
"cn-sfantul-sava","Colegiu Național Sfântul Sava"
"lt-ai-cuza","Liceul Teoretic Alexandru Ioan Cuza"
"lt-ca-rosetti","Liceul Teoretic C.A. Rosetti"
"cn-mihai-viteazul","Colegiul Național Mihai Viteazul"
"cn-nichita-stanescu","Colegiul Național Nichita Stănescu"
"cn-il-caragiale","Colegiul Național I.L. Caragiale"
"ct-spiru-haret","Colegiul Tehnic Spiru Haret"
"ct-elie-radu","Colegiul Tehnic Elie Radu"
"ct-toma-socolescu","Colegiul Tehnic Toma Socolescu"
"cn-barbu-stirbei","Colegiul Național Barbu Știrbei"
"lt-petru-cercel","Liceul Teoretic Petru Cercel"
"lt-constantin-brancoveanu","Liceul Tehnologic Constantin Brâncoveanu"
"cn-carol-i","Colegiul Național Carol I"
"lt-ic-bratianu","Liceul Teoretic I.C Brătianu"
"ct-costin-nenitescu-pitesti","Colegiul Tehnic Costin D. Nenițescu Pitești"
"cn-alexandru-odobescu","Colegiul Național Alexandru Odobescu"
"cn-zinca-golescu","Colegiul Național Zinca Golescu"
"cn-unirea","Colegiul Național Unirea"
"cn-ion-maiorescu","Colegiul Național Ion Maiorescu"
